,Text
198103762220881733,@giovanalys n veio pra escola hoje fdp
198964624138781733,@matthunter123 no fui a tu concierto pero me alegro de todos tus logros... Congratulation! :') orgullosa de ti 
200023008957781733,I'm the brst thing in your life the end.
200278113999781733,I cannot believe bonny is dead ffs
200295817697781733,I'm at The Avenues (Kuwait, Hawalli Governorate) w/ 16 others http://t.co/Qjf2E19RSP
200297752427781733,With Dhany at Lapangan Tenis Outdoor Lembah UGM ? http://t.co/g8NvnmdSxr
200407259879781733,@Dovahhkeen @rgholgado @Zeeeedd @justPreii Ano lilibre mo ko? :D Hahahaha joke lang XD
200443351676781733,taking agriculture modules this year, cant wait to be an agric student as well as law 
200673964457781733,I'm at Trop@yna HouSe (Manila) http://t.co/uDa8tUHnZf
200867422800881733,@23_Sergiio @MiguelRamos_7 compraros la camiseta naranja del madrid:) esa si molaaa jajaj #un abrazo
202116816557781733,@Knulldegselv seri?st du m? v?re den eneste gutten jeg har m?tt p? som liker skrekkfilmer!! GOD BLESS YOU
202156792470881733,@asyraffalalala boleh ke? aku pun nak ah! hahaha
202323437179781733,@Dannyob87 @Irishboxingcom as I said I said I don't think he can achieve anymore than he has already he hasn't got it at world level
202323606198781733,@HollyAJennings thanks deary! Really appreciate it!
202325102867781733,Keluar dengan budak budak debate serta debat lepas stress. Lagi lagi after lawan dgn laki bedebah tu. -.-
202382366948781733,"bom" dia
202384873950881733,@ociimoocii iya ni udah yang , kenapa gk isi pulsa sms ?
202532757989781733,@hasmiara eehhh weeewwww |_?( ? ??)?_|
202578901040881733,@syuothman dah dah. Ang?
202709543698781733,Hari ini pingin ngegalau, penyakit galau kumat lagi :|
202762311538781733,#RushersAndDirectionersCanBeFriends everyone stop trend it? c'mon guys!!!
202789195367781733,Creuant la pla?a sota aquest sol primaveral (@ Pla?a de la Vila) [pic]: http://t.co/3ySxIlJukp
202975813958781733,@_echaa yaampun apalah kakak niiiix_x
204053772670881733,?H RENATO GA?CHO
204285235236781733,Hari gini percaya sama ramalan bintang !? Makan tu ramalan !!
204418956089781733,@geovanemr B?SSOLA?
204477066989781733,Ah lo gangerti bhs indonesia dengan baik sih-_- !"@ichaainayya: @wahyukrismanto9 @novitaabcd gajelas lo yu-_-"
204494177340881733,@Blendibabastars mos u harxhoo po baj hajgare . Mu weq Hacush politanka ma ka thy zemere kur e kam pa per her tpar ahhahaah
204621988339781733,Mamaaaaa op bezoek &lt;3___&lt;3
204813167687781733,:s
204893786189781733,Ngarep bgt"@stefanyocha: Tak kira sama aku -_-@dodyprass2: Suka sama bruno"@stefanyocha: Apasih mas u.u dari kmaren kayaknya tanya pacar mu
204897947456781733,ML 3.6  DODECANESE ISLANDS, GREECE: Magnitude??ML 3.6Region??DODECANESE ISLANDS, GREECEDate time??2013-05-22  ... http://t.co/JOJJ5SGoG4
206581275438781733,Odio la semana de evaluaciones, LAS ODIO.
206758042369781733,@pikiaguilas @si toy deseando pero d k m paren
206773820116781733,yg pntg gendutnya jgn het tingginya aja :DRT @Hesdried32: @nadiahaphap @diasyuu nih aku mau bagi2 B)
206984477929781733,@WithJohnHurt By Jove! Just got to Caligula's end in I, Claudius thanks to BBC4's rpts. Have you ever enjoyed anything as much as that?
208256403720881733,@Calum5SOS sorry pal
208482243596781733,@aysegulozler baya kis ya yarin aksam karla karisik yagmur gosteriyo daha neler senin ora daha sicaktir eminim:)
208807563528781733,@aleee_or Si estoy totalmente de acuerdo contigo, la iglesia es la mayor empesa del mundo desde hace no siglos, sino milenios...
210323733600881733,@Novikov_I @ACMilanFan_Ru ???????. ?? ?? ??? ? ??? ? ??????! ?  ???? ??????? ?? ????? ?????????????? ?????.
211010457047781733,@SeuLMonster pq ???
211016196760881733,@tessy_8 ???????????
211033455807781733,???????? ????????????????
211035166127781733,@yvonne_88 that one it's really cute, it always makes me smile ????????????????????????????????????????????????????????????????????????????
211037483220881733,Ava gue kok kaya yg kena struck guni yaaah?  Hahaha
211058799457781733,@ladyarina123 ??? ?????? ???????
211071260479781733,At @cosmiclothes ? http://t.co/n016Y8sUGu
211071834939781733,???????????????
211079451446781733,I'm at @TescoMalaysia (Alor Setar, Kedah) http://t.co/39pCuaWf1m
211098275229781733,@_zoelkarnain ganggg tegamu peak. Banyak skali lemnya wkwkw
211206004416781733,@Metro_TV Keluhan: Kota Jambi Siaran Metro TV bermasalah di Suara yg Rusak, tp gambar bersih jika memakai Antena UHF #9
211206616700881733,Country homes pun ada masalah air ke weh ?
211244849099781733,@CruzerSoul nonono
211261534010881733,@ShafinaNabella sorry late makan td . hee . nh la budak oopie form 3 tuhh . mulut kurg ajarr .
211263205219781733,@EVERARDOPAD todo el apoyo en Guanajuato! Saludos!!
211265370068781733,Essa uma ta assim  PERDEMOS  CINCO PONTOS MDS
211269957119781733,@NadyaAnnisaNst msih zman?
211280755710881733,@Thomas__1998 nee joh geak eerst de 5s nog
211282441308781733,Can today be over already
211417071268781733,I HATE PEOPLE
211417090046781733,@__getcrunk @lillian_l_
211419331316781733,tao
211419396706781733,Engga ada kan yang namanya kesempatan ketiga ?
211419909000881733,?????????? 2?????? ?????? #?????&amp;???????? #??????????????????? 55555 http://t.co/yI1psD6EJN
211432015757781733,Sakumomo??! O_o@Qwesipayne @aqueyah
211438159587781733,@iskandar_surya hahaha, jangan sampe acc gue di hack, wassalam kalo beneran....
211470229269781733,@aaaaisling_ i will tomorrow
211495778108781733,@asyraffalalala tadi kau dtg pkul 9 gak en?
211497829568781733,@insyirahalwi zz ... hahha..
211605634588781733,papo de otario memo
211609622880881733,"Lp
211624606057781733,@lizzielou_lou what you were getting charged when you hadn't sold anything?! They take so much money it's not even worth it 
211662898226781733,@NOsharaf  ???? ??????
211664189607781733,2 of those involved in the Oxford grooming trial have just walked past my place with their heads covered, somebody was trying to take photos
211666656508781733,Red hot buffet for @EmilyJaneCooper's early birthday 
211681651108781733,@lorebblein #RECOMENDADO @JOCKEYMUSIC #IMAGINANDOTE http://t.co/Q1BQC3dY1H
211687924289781733,Aula pra q gurias?  @ UniRitter - Pr?dio A http://t.co/z1PHc4iw8J
211810358927781733,sem maldade, n ficarei mais triste por causa disso ............... Eu acho
211818357708781733,Ya"@AhSpeakDoang: #OmSpikTanya sering ngemil malem malem gak ??"
211833922478781733,???????????
211854810988781733,http://t.co/ypBiP6wxsQ
211856356678781733,&lt;-- padahal ga punya hape android tapi suka bikin aplikasi android
211871961450881733,@gabsmacedo_ 942259947
211877284200881733,Isa lang xang Magulong Usapan na kahit kelan ndi masosolusxunan ng Malaswang Ugnayan.. nyhahahahaha..anu daw?? lol much.. ^_^
211890323180881733,@lowernz Get well soon :)
211896060358781733,@K_XueZi and u dam guai LAN!
211896440510881733,I'm at Anna Sweet Home's http://t.co/zOIUivAML4
211896805949781733,@chantykasella ini siapa yaa?
211898556370881733,Lama pisan.pengen makan keluar sendirinya males mending ada yg nemenin -_-huaaaha
212220314860881733,@milan_fauzi yoo nonggg:3
212471209378781733,Via el junquito con los mejores compa?eros que una persona puede tener LOS AMO AMIGOS DEL ALMA ???
213103085728781733,@nyreedunn I'm so excited for you to come visit. Miss you :'(
213105970446781733,con te tutti i bedroom hymns di questo mondo
213126068119781733,@Patrick_Ric ah, claro
213145099566781733,@rosadega_ berarti besok aku harus bisa :D eh sa katanya banjar petangan itu disamping sd :D
213147735486781733,????????????????????????????? ?????? ??????????? ??????????
213160240909781733,Oh ayuh. Ayuh Selangorku. Hari ini kita mesti menang. Hoi #MKLK #RNYTWD
213164618929781733,Acordei de novo for?ado
213164886948781733,@PaulaSuarez_ me paso exactamente lo mismo! Jajaja
213181326126781733,"Deli, her ?eyi yapabilecek yetenekte olan, ancak yapmaya de?er bir ?ey bulamayand?r."  Francis Ford Coppola - Rumble Fish"
213181938410881733,Dos d?as para empezar una etapa clave en mi vida. Centrado en lo que me gusta, escalando hacia mi sue?o. No os preocup?is si no lo entend?is
213185943487781733,???????-?? ?????? (@ ???????? ???????????, ???????? ? (SVO Terminal C)) http://t.co/Ad7ZHEdqgz
213187065849781733,@KrukovaValeria ?????????? :***
213187485778781733,#nw JDT vs Kelantan
213189190587781733,TMJ hensem..wuuuuu
213189720547781733,????? (@ ????? 38) http://t.co/Ku8JbbcQsK
213316353739781733,@sono_un_koala c vue?:-)
213316359240881733,@ijansempoi1 haaa takda pun . haa lagi satu teacher nadiah dah ada dah . semalam dia masuk kelas .
213337264426781733,I'm at Parada de buses San Rafael http://t.co/0fldxzC9B9
213358728518781733,I love foodie friends.. Ah the planning we do to go to various restaurants.. Should think of food as reward for performance #thinking
213379230709781733,Magetan, deloken lokasiku to :o RT"@hanandyashafira: Gak nek ujaaann-_-mengada ngada tok(?)Wuu"@OrdinaryStrom: Hujannya deres banget -_-"""
213379696250881733,Do I go to glam tomorrow night or not? Or just predrinks?  #bigquestion
213394691840881733,@baitoshitaize ??????????(T_T)w
213502046720881733,@winnernandes DDDDDDDD: 2 baleia
213502276740881733,???????? ?????? ???????? ? ????. ???-?? ?? ??? ??????? ? ???????? ?????????. =\
213502631289781733,@BilouAnnabi http://t.co/lAbiz2pvWC
213525234409781733,@enesfaki babam m?s?rda okutucakm??
213525869969781733,@denizsenocak96 (at @BurgerKingTr w/ @eneskazaan @drakburak) http://t.co/hAyu8qpdM4
213527110349781733,Last exam! (@ DCU Sports Complex) http://t.co/2Xfnor9YsI
213527177026781733,@SousouDelRey ptdrrrrr tu bloquais le passage !
213540843679781733,Motor kudu dimanja emang dah
213546337550881733,@akemi_tkhr ????????????????????????(?)(?)
213548861238781733,badox is home! #travellingbabushka #singaporeairlines #manila @ Ninoy Aquino International Airport? http://t.co/uRS0KJPrIF
213565932577781733,Nem a favor
213582454089781733,@SBY_Yudhoyono Kami, memberi masukan kpd Sang Penguasa Kebijakan,........!!! Rangkul mereka,.....yg akan berniat "MERONG" BGS INDONESIA!!!
213711159796781733,???? ???? ??? ???? @FAYKHALED  :(&lt;33
213715352396781733,Que saudade de uma conversa com pessoas inteligentes, amo escut?-las.
213719979558781733,Pourquoi la rage ? Je pense y sera d?j? parti hein demain ou apr?s-demain !
213734938436781733,hujan boleh dilapuk ke faiz??hhaha
213753940116781733,Trus gmna nasib gw? :DRT @liskiya: Ga usah belajar puj hehe RT @pujikelv: Blajar bukannya ngrti malah pusing :(
213774057656781733,pronto cabei
213778845059781733,"@emchazz: How to have a conversation with me: you start first..you start first, then we talk, or else we won't talk forever."4ever alone
213799925580881733,Nakakainis lang isipin na, kung sino pa yung ineexpect mo na magpapasaya sayo, yun pa yung sisira ng araw mo. Happy birthday, Mika -_______-
213901083386781733,#NoCaemosEnTrampaChantajeNiMontajes #LaHojillaVuelveEnUnaSemana
213907964910881733,Amo o Igor cheiroso &lt;333
213922541967781733,I'm at Marmara Park (?stanbul, T?rkiye) w/ 78 others http://t.co/amfsnPC5G3
213945311829781733,semoga saja kebaikanku dibalas oleh tuhan..
213949113277781733,Once again. Brunet from the blurred lines music video appreciation tweet.
213983314198781733,Partidico de f?tbol bueno @jparra27 @samper24 @adi_roda @juanitomueleg y demas.... Comienza nuesto derbi
213985420059781733,@mrfajrin @kameysaa jino pacaran lagi tuh.....#toyor @arifsetiawan12
215021358988781733,Im gonna fall asleep on everyone!
215021968170881733,I'm at Colegio Imaculada Con?ei??o w/ @fabriciolara26 http://t.co/NK5NJc63tZ
215023692757781733,?@AJoroev: ?? 1 ??? 2013 ???? ? ??????????? ???????????????? 4745 ??????? ???-????????. ?? ???, 4541 ???????? ??, ??????? ?????? ? 560.?????
215040704118781733,My dog woke me up when he farted...
215048135920881733,@pienajoll i am leo..haha..
215067350139781733,Demain j'aurais pu ?tre libre mais non car je n'ai pas de job d'?t?. Geniaaal
215080642207781733,?????? ??? ??? ????? ????? ????? ???????     ????? ?????  ???? ?????? ????? ?????????? ???????????
215084461589781733,?le @demirci44 (@ coffeemania w/ @bestedoganay) http://t.co/6x2GudkgJn
215219496980881733,I'm at UFE - Uni?o Fraternal Esp?rita (Campina Grande) http://t.co/Y6X9s2avR8
215274984918781733,He mu lemu @megaisma :*
215278537568781733,HARWICH: Archery proves a hit with youngsters http://t.co/oWNWP6NrZD #Essex #Harwich
215278763199781733,Hoy de local 21:30hs Primera Divisi?n  @BasquetCAMG vs #BurzacoFC . Para  seguir con la racha ganadora. #VamosCAMG . #VamosPor?lAscenso .
215295473498781733,Vendredi 24 Mai, de 14h30 ? 15h30, l'Atelier recevra Soizic Huet - Responsable de la r?sidence CREATIS @GaiteLyrique http://t.co/mY9LjeJB0O
215299469588781733,Il mio follower pi? bello sa di essere figo
215407044588781733,Ainda vejo o mundo com os olhos de crian?a Que s? quer brincar e n?o tanta "responsa"?? @ C?ssia http://t.co/GXkX1NedKh
215422275600881733,(???) loh aku iku syg kalian "@nobel_10: Mayakk adikmu iku sam -__- RT @annas_fuadi: DEMN!! RT @siyoyo_yo: Cuma salahmu gag pernah k kampus
215428947387781733,@ProgresistaSant @PROgresistasVE Hoy 22 de mayo II Encuentro Naciona Progresista, salon rojo del hotel tequendama,5pm http://t.co/CSoSBJPk4s
215460217968781733,@TehZyyyy Ikaw na magset haha
215464019317781733,MyFavoriteMyEverthingMyBoy!!! http://t.co/odNi42vtFm
215481926469781733,My favourite current tv presenter is Kevin Mccloud #GrandDesigns
215485175846781733,@DavieMarshall @TA_Treezy I actually think they missed some TV references out there.
215610439980881733,@nvm0 tiene que ser falso, es un negro que vive en Del Viso
215612167966781733,On va jouer toute l'apprem hein
215614440569781733,Con el galardo gatooo http://t.co/IQfJoWgjrl
215616594329781733,Love hearing American accents in London :D
215631559708781733,oi gente socorro que sdds daquiiiiiiiiiiii
215633076710881733,.... Why
215639113927781733,Lo so che sono simpy :')
215650166837781733,Si el plan "A" no funciona, recuerda que el abecedario tiene 26 letras =D Lucha nojoda!!!
215650502598781733,??? ??????? ??? ????? ???? ??? ?????? ????? ????? ?? ???? ??
215652002666781733,@banquran ?????? ?????? ???? ???????? ???? ?? ??? ??????? ????? ????? ????? ????? ???? ?? ???? ????
215675061870881733,Betul..-tu setuju cen,sayangnya ga pd sadar,kalo udah kejdan br deh terasa..kapan kermh kangen "@TriyoPutra: Jika kau memperlakukan
215675086169781733,Garsonu tanimak demek siparis etmedigin lattenin masaya goz kirmalarla birlikte gelmesi demek (:::: (@ Diesel Pub) http://t.co/VYlU7Cs6FM
215696713326781733,@arzrri errrkkkk, hi azri. Khabar baik saja. Errrrrk, kenapa tanya.
215696778169781733,Provaaaa (@ Sala Do Terceir?o - Escola Meta) http://t.co/NZ2YHi9JIW
215804923886781733,Ranno tak akan pindah!!"@InterMilanIndo_: Juventus dan Man. United Bersaing untuk Ranocchia http://t.co/EGDZb774yY"
215808765789781733,I'm at Gold Chilli (Subang Jaya, Selangor) w/ 4 others http://t.co/Wq5nWLz3Dx
215829254260881733,#NP Berhenti Di Kamu - Anji Drive (req by Lhyna)
215844082128781733,Kimse beni sevmiyor diye ba??rd?m.. Annem: Ben daha ?lmedim ddi..
215846553418781733,Had the weirdest dream.
215848099108781733,@m__webb think its a job most blokes would enjoy :-)
215861727927781733,I'm at Apartemen salsabiela http://t.co/o54tk1t3wt
215863419469781733,@feqaa haha , sejarah masuk mane ?
215863432736781733,@festivalbelia13 @NajibRazak @Khairykj @KBSMalaysia #FestivalBelia13
215865181870881733,Choco love &gt;&lt; @ Kapong Garden Resort http://t.co/WDd6X4Jmus
215869958830881733,@CorreForast o jonas nao tem ninguem mais indo pro campo ??
215880777506781733,@Lusiolad 4*. help set mem ??? ??? ????????
215884512277781733,Jalan2....yuhuuu...
215886434720881733,Nacha Pop, La Uni?n, Tam Tam Go! y Hombres G Unidos por 'la Movida' Video-Entrevista para el concierto en Marbella http://t.co/2jhFptIDJY
215888189540881733,My finals shouldn't be too hard
217112408666781733,The videos I get from @KassidyK18 and @MakeItRainey1&gt;&gt;&gt;&gt; funnnny.
217114970178781733,I'm at Mes?n Las Tejas (Miguelturra, Castilla-La Mancha) http://t.co/zT1qKmfgbE
217116037040881733,?stemiyorumm ya calismak istemiyorum... Baslamak hic istemiyorum
217135843200881733,@MiimsWoOd ahhahahahahha chehhh. Mr hatay
217139050298781733,Really goosebumps
217177623629781733,3G"@AhSpeakDoang: #OmSpikTanya sinyal HP lo 3G / EDGE ?"
217190381348781733,Spg es teler caem juga boy disini @birudalam
217196259436781733,Freakin' Scary
217300243230881733,@fir3works O2 Apollo m'dear. ?
217302163237781733,I'm ready to go home.
217304400118781733,@KikiBellaA ok thank u
217308280666781733,@chencolate syuuuukuuur .. :"3 dibawa teleport kmn sm kai?
217325737678781733,@davilito_ubrike el que??
217327233357781733,Chegar 3 minutos atrasada tem q esperar ate as 10 p entrar ... Sacanagem viu
217329320430881733,Jaga malam terakhir (at Departemen  Ilmu Penyakit Dalam RSHAM) ? http://t.co/7adxosp6Eb
217340907798781733,Tes Ptites fesses en forme de fraaaise
217346456179781733,???????????????????????????(*^^*)
217363506529781733,@HugoGH121 Felicidades Hugo!!!  Pasalo genial en tu dia junto a @MariasanchezzGH :) besos!!
217369686246781733,2thn yg lalu. RT @AhSpeakDoang: #OmSpikTanya terakhir ganti HP itu kapan ? http://t.co/sEiqxfWrcQ
217551199739781733,@nyun_len ???????????????????????????????(??_?`)
217551598778781733,okumu? k?z de?il okuyan k?z alacaks?n...
217555506858781733,@kiii__amrex ????????????????
217555730377781733,@norain_shuhaida pkul lah.. Apa mau goyang...#wengweng
217574911966781733,@focuSveta ????
217595425179781733,@cluckinghell102 Are you going anywhere nice for the weekend then? Xx
217599096597781733,@Teognis_ s? jajaja jam?s lo esper? con ellos! Pero a veces toman malas decisiones!
217724527549781733,Cool^^"@sachnaznaciar: Oh my.."@cecillia_ayu_: Di manado beruang dimakan? Really? ._."""
217724548439781733,mlm2 hrus nyuci..... kan #dingin....
217726004440881733,a? mano essa mina ? mt gata puta que pariiiiiiu 
217747350888781733,@zompire_risan seterah deh :p
217749422149781733,I'm at Maltepe (?stanbul, T?rkiye) w/ 45 others http://t.co/sgTGqtPtaW
217760416160881733,On Tuesday 21, #RAW was Trending Topic in Cardiff for 6 hours: http://t.co/mC7hrAuYxK
217768894759781733,@_AGreenApple je voulais mettre "soit"
217910060498781733,?????????????????????????
217914641048781733,@ahdasabila1 luar
217933469210881733,Oh Lindoooo do ' @McostaOficial  e o Matheus Rossi seeus Lindoooooos' http://t.co/qFHqM67ZD6
217950764078781733,@selcukbalcii  Bizde :) Ama Sen Bizi K?rd?n :S
217956486857781733,@ffernju ????????????
217971441789781733,@AlinaaaN ?? ???? ?? ???????, ?????
217973361786781733,Entah marah atau kesal yang jelas pen nangis :'(
217975093330881733,@GibboLZ  ????????????????????? 55
217975688789781733,@Bluewhiteeheart orkar inte 
217975834198781733,@dedicoma @safnasafitri @MissRahmaDiana hem ded hem :))
219015509420881733,Apabila hati kita berat nak terima seseorang itu tanda dia bukan jodoh kita.
219019930928781733,@harurocklock  ???????????????????????????????????????????????????????????????????????? ???????
219038165037781733,http://t.co/vcv2ewBl91
219074058047781733,@SHALIMATUN sedap kot lg nih
219074092647781733,I'm at Amazonas d? Sorte - Marketing (Manaus, Amazonas) http://t.co/lnpxRLdSy5
219076394918781733,oh, ok. Act like im not here.
219076565059781733,Une musique, une situation  ! http://t.co/K3rL6sL5lx
219076736180881733, @ sweet home ?? http://t.co/6pPoBrzTrO
219095780258781733,t? morrendo de vontade de te agarrar n?o sei quanto tempo mais vou suportar ????
219209803417781733,Minha prima (chefe) ta mt brava cmg, n fui trabalhar hoje e ja ganhei sermao no tel. Ai
219222109709781733,e bene si, ho paura dei temporali e mi nascondo dietro la mia amica! ? #tiamo http://t.co/yBQ2kUZLhu
219222141207781733,Pagi tadi pergi tukar ic. Esok baru siap.
219222778879781733,@ChanBaek_27 ????????????  &gt;&lt;
219224863407781733,sip lanjutkan kawan ciieess*kopi* :) RT @DebroBlues @KissutGumers oke sip :D .. piss,gua cari ipok dulu gan :D .. haha
219260106567781733,@luismiyyesi a disfrutar q la vida son 2 dias!
219268968717781733,Why isn?t there a middle finger emoji I swear I would use it 99% of the time
219281498528781733,???????? ???????????????????????
219283184559781733,@Liiyanaaa if that is the case. He is the one for you!
219287518079781733,At Bloomingdales Home - ??????????? ??? [pic] ? http://t.co/KCB3Q7URp7
219416424039781733,agr de veiz
219416825180881733,@BTRMichi_98 wie schon gesagt gammeln/vergammeln xD
219418574056781733,@NicolasMaduro @jaarreaza Ni las l?neas de Ch?vez ni las reflexiones de Fidel..?
219431448307781733,@JadeLilly agreed
219454085136781733,Who should you connect to on LinkedIn? - http://t.co/EqNdFQWVzJ
219456748447781733,@Dini_Shazwani dini ada numb. fatin tak??tadi numb. yg aqela bg tu salah :(
219471302228781733,@bejokampret klaper tart aja udh cukup jo :D
219473878029781733,@Cybelle_rai  quand tu termine :p car il y a beaucoup de zaha2 wa hakaza ... :/
219492405926781733,@B6rrran ?? ????? ?? ????
219496602368781733,Aaaaaaai q pregui?aaaa
219600655508781733,???? @ ?????????? http://t.co/WC1jXwGJVO
219621716436781733,ngucapin istirahat aja udah seneng banget.. :D apalagi klo main bareng lagi,,,senengnya belipat.lipat hehehe :D
219625723516781733,@silviakspiva my 1500th follower! Thanks
219627430437781733,@sneijder101010 #Madrid #22maggio GRAZIE!!!
219640789450881733,Niggas be wearin each other clothes like its nothing
219665013867781733,Moooorning! I'm feeling very homesick of canada! I had a dream about it tonight :(((
219665439208781733,Kepo ni ye ;p"@NndSiregar_: dress buat ape syng? Wakakak?@lestarithias: Percume lah kmren sibuk* nyari drss ehh tautaunye....?"
219665608227781733,FAST AND THE FURIOUS 6 WITH LE BRO AND GF. WEEE BROOOOM VROOOOM (@ MBO Cinemas w/ 8 others) http://t.co/fTemi0Z6o5
219669427500881733,Mientras m?s positivas sean tus palabras y pensamientos, m?s r?pido vas a superar las duras pruebas que est?s enfrentando.
219684230188781733,La vie c resume a apprendre de ton passer, pour mieux vivre ton present, et esp?r? le meilleur pour le future.
219813942396781733,@estzlle si
219830468297781733,@HanifWiguna1 follback ya :-)
219830698218781733,@IreneMuelas Okeiss a las 5 voy.para tu casa jijiji teqqq
219832173007781733,@ArvemFlores yieee. Mami-miss niya ako :&gt; *ako nga ba? #LQnaYan =))
219836165797781733,@nics_giacomini minha diva , obg por tudo s22' te amo nega .
219870936346781733,???????, ???????. ?? ??? ???? ?????? ??????????
219876424716781733,@PipSmith90 I'm going Highlander pal :)
219895411017781733,hahahahahha amk :SD:D.D.DS:.S http://t.co/6B6fomcsIw
219897582367781733,Odio a maxi se esta mandando LA medialuna, y no me compro nada a mi :(
221105012356781733,@mmvipjapan ??????????????????(*^_^*) @
221318594998781733,?? ???? ????????? ? ??????? ????? ????? ????????? ???????? ???? ?????????'*"""
221544356009781733,??? ?? ???????
221565875680881733,@ZuraiDhia hahah,sorry curi ayat sikit
221924993926781733,@eb_afzal @LacusClyNex23 bukan slalu jady lalang . Haha
223008191220881733,Meeenha thatha ficando mais velhinha hj *------*
223025606019781733,Mau magnum sama kebab.tapi uangnya ituloh...
223065565097781733,@babiephunk Phunk Baby
223213844667781733,Buenos d?as!! Ombligo de semana enjoy =)
223299176170881733,eu te amo linda, vc ? tudo!!!!!! te amo mtooooooooo @valescapgaiola vales deusa
223409051339781733,I'm at Invima (Bogot?, Departamento de Cundinamarca) http://t.co/HsbHTdIWxA
223443066396781733,ko sakit gini sih ;(
223464779286781733,@windyy407 : oiya:)
223639094049781733,''Kimi ?ok sevsem gidiyor,bi ayr?cal?k yap sen gitme olur mu?''-The Vampire Diaries
225158537228781733,@teynss Cali-bangon ka? Haha
225177754539781733,La fuerza del tornado de Oklahoma fue 600 veces la bomba de Hiroshima.
225198682160881733,@dvflores_ Sip! Dale..
225321602367781733,With Gorby at Go Wagyu Steak Tribeca Park CP ? http://t.co/1o05ASQlZB
225384504616781733,Sepertinya ciuss miappah perlahan sirna dari bumi ini ya?
225386650687781733,Hay
225532633497781733,Ngk"@AhSpeakDoang: #OmSpikTanya sering mandi malem malem gak ?"
225576588566781733,Buenos d?as gente :)
225703591020881733,@banquran ?? ???? ?? ?????  ??? ????? (?? ???? ?? ????? ?? ???? ???? ??????? ??? ?????)???? ?? ????? ????? ?????
225950034886781733,Udah lama @shfly3424 g ngetwit :( :(
227289318076781733,@Nabila_KL bien et toi ?
227431151599781733,@Calum5SOS Calum if you see this please follow @MariaTommo1D  It would mean so much :)  Love you x28
227661787547781733,Seydi tu fais des ?tudes de quoi?
229311256860881733,???
229942174078781733,?????????????? ??? w/ 11 others (@ Nature Place Apartment) http://t.co/7v7p4dWyhh
229948867089781733,Depan Ka'Bah.. RT @notesSAHABAT: #NotersQuestionToday pengen banget deh foto di ...
229988130596781733,Habra que dormir un rato hasta las 16:05 nop?? :))
230005789396781733,*nyimakTL @CelanaChino *
230022896358781733,Some random people favouriting my tweets -_-
230024333148781733,Just posted a photo @ ?????????????? http://t.co/OzZrajiHAZ
230026842437781733,Soooooooooo excited to see @BradSherwin tonight after two weeks ? yay!
230028914787781733,Finish at 4 life's shit really Init
230041043447781733,Somebody gift me samsung galaxy s4 please :s wkwkwkwk
230045620697781733,Of course they're gunna know what an of course is by the time they hit 4th grade, they got the discovery channel don't they?
230064843410881733,Roll on home time.. Need  a sunbed
230066159189781733,Hoy toco Santa Fe!!! :S (@ Consubanco SA IBM) http://t.co/45Xili1Wds
230066784740881733,Ok #luaskankuasamujohor !!! GO! GO! GO!
230081722738781733,???? - ?? ???? ? ???? ? ?? ? ???? ? ????? ???? ??? ??????? ??? ????
230087081200881733,RT @shitlicious: Mencintai itu hak tiap orang. Menolak dicintai juga hak tiap orang. Kewajiban tiap orang, hanya berjuang utk cintanya~
230214833300881733,Lol that was quick.
230214892298781733,Happy wedding, Fikar &amp; Nadya!  Anak SBM 2010 ada yg udah nyampekaaah? Ikik niii nunggu Bang? (at Balai Sudirman) ? http://t.co/ZynkL1EBCv
230231507986781733,Manayee-_-"@IGMNdharma: Kutukan dik @Sagung_Mirah: Setiap malam pasti pending!-_-"""
230235550788781733,I'm at Goldsmiths University of London (New Cross, Greater London) http://t.co/cbjV9cNBH0
230256212677781733,Por ac? en el chuzo (at @CHECGrupoEPM - Estaci?n Uribe) http://t.co/HKh9lfm7RO
230277180310881733,Penyakite enak piye pak de :3 ?@JowoKerasBoss: Tresno kuwi malah dadi penyakit!?b
230279041428781733,I say it but I can't do it. fuck it this time round I really wanna end it all
230290058069781733,-
230421281778781733,@kariskapeach yayayayayayayayayay
230425868829781733,I'm at Global International http://t.co/rdG5aAOJZ2
230427997956781733,Why is it, that very train I get on , I'm sat by some twat that won't shut up.
230429265727781733,@0verflowInside jajaja pero tu much?simo m?s que yo jajaja.
230429850286781733,Maaf saya masih normal RT @Agus_Periantaa: I'm shy "@gust_ariik: Mungkin sdh merasa malu? haha!
230440652286781733,@ravirioo gmna tentang @CutSyifaa ama @ sam:) :)
230448233240881733,Really not looking forward to this pointless trip tomorrow :/
230461561030881733,bray sepatu lu bentar lg gua awetin pake garam nih wkwkwk @Joshualexandre
230480782730881733,@hernanceballos1 Nee -_- Santos y su estrategia de venta comercial!
230480936927781733,Selamat malam ce @AnisaChiBi gimana nih perform di palunya ? :)
230613091109781733,I'm at @EmporiumBangkok (Khlong Toei, Bangkok) w/ 12 others http://t.co/jm06yF4YH4
230615186626781733,http://t.co/W9AGxB3E7Y
230615334580881733,Mermelada&lt;MermeLena
230636876349781733,@NooRaSmAaFiEzA mu dop mno lonie??
230638771067781733,Dandutan teros mesti temane engko "@syahwandi_09: Mb suka hayal hayal RT @always_Ulil: Ambisi MBUIN "@syahwandi_09: Tdi presentasi tentang
230653120107781733,"Brawijaya ! @Tweetnesian: #TeenageQuestion target masuk Univ mana ?"
